PRODUCTION NO  : PRJ8028_QFN48_TEST,,,,,,,,,,,,
PKG_TOP_LEFT_PIN : 1,,,,,,,,,,,,
PACKAGE : 48QFN 12 12 12 12,,,,,,,,,,,,
VERSION : V1.0_20240418,,,,,,,,,,,,
DIE_SIZE : 2414x1415,,,,,,,,,,,,
,,,,,,,,,,,,
PKG_NUM,PKG_PIN_NAME,DIE_NUM,DIE_PIN_NAME,IO_CELL_NAME,PKG_LOC,DIE_LOC,DIRECTION,LOAD,SLEW,SSO,,
0,,55,PAD_TX_VSSA33,-,-,R,G,-,-,TX,,
0,,56,PAD_TX_VSSA33,-,-,R,G,-,-,TX,,
27,PAD_TXOUTP3,57,PAD_TXOUTP3,-,R,R,-,-,-,TX,,
28,PAD_TXOUTN3,58,PAD_TXOUTN3,-,R,R,-,-,-,TX,,
0,,59,PAD_TX_VDDA11_A,-,-,R,P,-,-,TX,,
0,,60,PAD_TX_VDDA11_A,-,-,R,P,-,-,TX,,
29,PAD_TXOUTP4,61,PAD_TXOUTP4,-,R,R,-,-,-,TX,,
30,PAD_TXOUTN4,62,PAD_TXOUTN4,-,R,R,-,-,-,TX,,
0,,63,PAD_TX_VDDA11_B,-,-,R,P,-,-,TX,,
0,,64,PAD_TX_VDDA11_B,-,-,R,P,-,-,TX,,
31,PAD_TXOUTP5,66,PAD_TXOUTP5,-,R,R,-,-,-,TX,,
32,PAD_TXOUTN5,65,PAD_TXOUTN5,-,R,R,-,-,-,TX,,
0,,67,PAD_TX_VSSA11,-,-,R,G,-,-,TX,,
0,,68,PAD_TX_VSSA11,-,-,R,G,-,-,TX,,
33,PAD_TXOUTP6,70,PAD_TXOUTP6,-,R,R,-,-,-,TX,,
34,PAD_TXOUTN6,69,PAD_TXOUTN6,-,R,R,-,-,-,TX,,
0,,71,PAD_TX_VSSA11,-,-,R,G,-,-,TX,,
0,,72,PAD_TX_VSSA11,-,-,R,G,-,-,TX,,
0,,73,PAD_TXOUTN7,-,-,R,-,-,-,TX,,
0,,74,PAD_TXOUTP7,-,-,R,-,-,-,TX,,
0,,75,PAD_TX_VDDA33,-,-,R,P,-,-,TX,,
0,,76,PAD_TX_VSSA11,-,-,R,G,-,-,TX,,
35,NC,0,NC,-,R,R,-,-,-,TX,,
36,PAD_TX_VDDA33,77,PAD_TX_VDDA33,-,R,R,P,-,-,TX,,
(D1.43),,78,PAD_TX_VDDA33,-,-,T,P,-,-,TX,,
0,,0,-,-,-,T,-,-,-,-,,
0,,80,GND_PLL,-,-,T,-,-,-,-,,
36,VDD33_PLL,81,VDD33_PLL,-,R,T,P,-,-,-,,
0,,82,LDO_EN,-,-,T,-,-,-,-,,
37,PAD_VTEST,83,PAD_VTEST,-,T,T,-,-,-,-,,
(D1.35),,84,VDD33_IOT%IO%U_AIP_TOP/U_VDD33_IOT0,-,-,T,P,-,-,-,,
38,VDD33_IOT,84,VDD33_IOT%IO%U_AIP_TOP/U_VDD33_IOT0,-,T,T,P,-,-,-,,
